"K","C.Bid","C.Ask","P.Bid","P.Ask"
500,"84.8",85.9,"3.9",4.2
505,"80.4",81.5,"4.4",4.8
510,"75.9",77.1,"5",5.4
515,"71.6",72.4,"5.7",6.1
520,"67.4",68.5,"6.4",6.8
525,"63.3",64.4,"7.3",7.7
530,"59.3",60,"8.3",8.7
535,"55.2",56.1,"9.3",9.7
540,"51.4",52.2,"10.5",10.9
545,"47.9",48.5,"11.8",12.2
550,"44.4",45,"13.1",13.6
555,"41",41.4,"14.7",15.2
560,"37.6",38.1,"16.4",16.9
565,"34.5",35,"18.2",18.8
570,"31.5",32,"20.3",20.8
575,"28.7",29.1,"22.4",23
580,"26.1",26.4,"24.7",25.3
585,"23.5",23.9,"27.2",27.8
590,"21.3",21.6,"29.9",30.5
595,"19.1",19.4,"32.7",33.3
600,"17.1",17.4,"35.6",36.4
605,"15.2",15.5,"38.8",39.5
610,"13.5",13.8,"42.1",42.9
615,"11.9",12.3,"45.5",46.2
620,"10.5",10.9,"48.9",50
625,"9.2",9.6,"52.8",53.8
630,"8.1",8.5,"56.7",57.6
635,"7.1",7.5,"60.5",61.6
640,"6.2",6.6,"64.6",65.7
645,"5.4",5.8,"68.9",70.1
650,"4.7",5.1,"73.3",74.3
655,"4",4.4,"77.6",78.7
690,"1.55",1.85,"110.1",111.2
695,"1.35",1.65,"115",116.1
700,"1.1",1.45,"119.8",120.9
